Pharmaceutical Society of Ireland,,,,,,,,,
This data is correct at: 01.07.2022,,,,,,,,,
Registration Number,Trading Name,Street 1,Street 2,Street 3,Town,County,RPB Owner,Eircode,Address 1
7153,Baxter Healthcare,7 Deansgrange Business Park,,,Blackrock,Co. Dublin,Baxter Healthcare Limited,,"7 Deansgrange Business Park
Blackrock, Co. Dublin"
7157,Dillons Cross Pharmacy,256 Old Youghal Road,Dillon's Cross,,Cork City,Co. Cork,Sopi Dillon's Cross Limited,,"256 Old Youghal Road
Dillon's Cross
Cork City, Co. Cork"
7160,Swords Castle Pharmacy,Bridge Street,Castle Shopping Centre,,Swords,Co. Dublin,Jamyn Limited,,"Bridge Street
Castle Shopping Centre
Swords, Co. Dublin"
7162,Fennell's Pharmacy,O'Connell Square,,,Ennis,Co. Clare,Visbury Limited,,"O'Connell Square
Ennis, Co. Clare"
7163,Clontarf Hospital Pharmacy,Castle Avenue,,,Clontarf,Dublin 3,Clontarf Hospital ,,"Castle Avenue
Clontarf, Dublin 3"
7166,The Village Pharmacy,Main Street,,,Mountcharles,Co. Donegal,Belmire Limited,,"Main Street
Mountcharles, Co. Donegal"
7167,H.S.E. Pharmacy,St. Stephen's Hospital,,,Glanmire,Co. Cork,H.S.E. South,,"St. Stephen's Hospital
Glanmire, Co. Cork"
7170,Ryan's Pharmacy G.S.C.,Unit 1 Greendale Shopping Centre,,,Kilbarrack,Dublin 5,Odyssey Properties Limited,,"Unit 1 Greendale Shopping Centre
Kilbarrack, Dublin 5"
7174,McCauley Health & Beauty Pharmacy,"Unit 4, Connolly Court, Hillside",Connolly Street,,Cavan Town,Co. Cavan,Sam McCauley Chemists (1032) Limited,,"Unit 4, Connolly Court, Hillside
Connolly Street
Cavan Town, Co. Cavan"
7176,Dromore West Pharmacy,Dromore West,,,Dromore West,Co. Sligo,Dromore West Pharmacy Limited,,"Dromore West
Dromore West, Co. Sligo"
7178,Berney's Chemist,Main Street,,,Kilcullen,Co. Kildare,Bernard Berney Limited,,"Main Street
Kilcullen, Co. Kildare"
7179,Sheridan's Pharmacy,"Unit 0, Roselawn Shopping Centre",Roselawn,,Blanchardstown,Dublin 15,Kenroku Health Limited,,"Unit 0, Roselawn Shopping Centre
Roselawn
Blanchardstown, Dublin 15"
7180,Tracey's Pharmacy,18 Eden Quay,,,,Dublin 1,Coinnle Limited,,"18 Eden Quay
Dublin 1"
7183,Farrell's Pharmacy Longwood Limited,The Health Centre,,,Longwood,Co. Meath,Farrell's Pharmacy Longwood Limited,,"The Health Centre
Longwood, Co. Meath"
7185,O.D.C. Pharmacy,Kilnamanagh Shopping Centre,,,Tallaght,Dublin 24,SOPI ODC. Limited,,"Kilnamanagh Shopping Centre
Tallaght, Dublin 24"
7186,Staunton's Pharmacy ,Main Street,,,Castlebar,Co. Mayo,Staunton's Pharmacy Limited,,"Main Street
Castlebar, Co. Mayo"
7191,Drinagh Pharmacy,Sackville Street,,,Dunmanway,Co. Cork,Drinagh Co-operative Limited,,"Sackville Street
Dunmanway, Co. Cork"
7193,Aghada Pharmacy,1 Lower Aghada,,,Aghada,Co. Cork,Aghada Pharmacy Limited,,"1 Lower Aghada
Aghada, Co. Cork"
7194,Breslin & McGreal Pharmacy,Primary Care Centre,,,Portarlington,Co. Laois,McGreals Pharmacies Limited,,"Primary Care Centre
Portarlington, Co. Laois"
7197,Staunton's Link Pharmacy,Hopkins Road,,,Castlebar,Co. Mayo,Staunton's Pharmacy Limited,,"Hopkins Road
Castlebar, Co. Mayo"
7199,Health 1st Pharmacy,7-8 Church Square,,,Monaghan Town,Co. Monaghan,Ronaghandev Limited,,"7-8 Church Square
Monaghan Town, Co. Monaghan"
7200,Blessington Pharmacy Limited,Main Street,,,Blessington,Co. Wicklow,Blessington Pharmacy Limited,,"Main Street
Blessington, Co. Wicklow"
7201,Gleeson's Pharmacy,The Mall,Vicar Street,,Tuam,Co. Galway,DFD Gleeson Limited,,"The Mall
Vicar Street
Tuam, Co. Galway"
7202,Mangan's Pharmacy,Station Road,,,Newbridge,Co. Kildare,Mangan Pharmacies Limited,,"Station Road
Newbridge, Co. Kildare"
7203,Bellview Pharmacy,Old County Library,,,Mullingar,Co. Westmeath,Sinclaire Clinic Limited,,"Old County Library
Mullingar, Co. Westmeath"
7205,Reilly's Pharmacy,"Unit 2, Bertram Court","Cornmarket, Thomas Street",,Merchants Quay,Dublin 8,Reilly’s Pharmacy Thomas Street Limited ,D08 AE33,"Unit 2, Bertram Court
Cornmarket, Thomas Street
Merchants Quay, Dublin 8 D08 AE33"
7206,Chemco Pharmacy,New Road,,,Bandon,Co. Cork,Duelchem Limited,,"New Road
Bandon, Co. Cork"
7207,Brecan Pharmacy,Unit 2,Brecan House,,Balbriggan,Co. Dublin,Pharmacy Code Limited,,"Unit 2
Brecan House
Balbriggan, Co. Dublin"
7208,MacMahon's Pharmacy,Main Street,,,Kildysart,Co. Clare,B. & P. MacMahon Pharmacy Limited,V95 YN2K,"Main Street
Kildysart, Co. Clare V95 YN2K"
7213,Go West Pharmacy,Unit 4 West City Centre,Seamus Quirke Road,,Galway City,Co. Galway,Go West Pharmacy Limited,,"Unit 4 West City Centre
Seamus Quirke Road
Galway City, Co. Galway"
7216,Martin Walsh Allcare Pharmacy,The Bridge,Main Street,,Carrigaline,Co. Cork,SOPI Carrigaline Limited,,"The Bridge
Main Street
Carrigaline, Co. Cork"
7219,Dalton's Pharmacy,Teach an Chuinne,Barrick Street,,Fethard,Co. Tipperary,M.F.D Pharmacist Limited,,"Teach an Chuinne
Barrick Street
Fethard, Co. Tipperary"
7220,Kelleher's Pharmacy,Main Street,,,Ballincollig,Co. Cork,Pulse Pharmacy Retail Limited,,"Main Street
Ballincollig, Co. Cork"
7221,Kenlis totalhealth Pharmacy,27 Cannon Street,,,Kells,Co. Meath,Kenlis Pharmacy Limited,A82 CD45,"27 Cannon Street
Kells, Co. Meath A82 CD45"
7223,Clonaslee Pharmacy,Main Street,,,Clonaslee,Co. Laois,Clonaslee Pharmacy Limited,,"Main Street
Clonaslee, Co. Laois"
7224,Mulligan's Pharmacy,Tesco Ardkeen,"Farrohenshannon, Ardkeen",,Waterford City,Co. Waterford,Mulligans Chemists (Ardkeen) Limited,,"Tesco Ardkeen
Farrohenshannon, Ardkeen
Waterford City, Co. Waterford"
7225,Mulligan's Pharmacy ,Mulligan's Pharmacy,"Tesco Ballybeg, Ballybeg Link Road",,Ballybeg,Co. Waterford,Mulligans Chemists (Ballybeg) Limited,,"Mulligan's Pharmacy
Tesco Ballybeg, Ballybeg Link Road
Ballybeg, Co. Waterford"
7226,Fairgreen Pharmacy,Fairgreen,,,Naas,Co. Kildare,Lampest Limited,,"Fairgreen
Naas, Co. Kildare"
7227,Cara Pharmacy Longford,12 Main Street,,,Longford,Co. Longford,Cara Pharmacies (Longford) Unlimited,,"12 Main Street
Longford, Co. Longford"
7230,Haven Pharmacy Holly's,Unit 8 Centrepoint,"Liosban Industrial Estate, Tuam Road",,Galway City,Co. Galway,Marina Point Pharmacy Limited,,"Unit 8 Centrepoint
Liosban Industrial Estate, Tuam Road
Galway City, Co. Galway"
7237,McGreal's Pharmacy,Curragh Grange,,,Newbridge,Co. Kildare,Kintol Limited,,"Curragh Grange
Newbridge, Co. Kildare"
7238,Quirke's Pharmacy,53 O'Connell Street,,,Clonmel,Co. Tipperary,A. J. Quirke (Pharmacist) Limited,E91 HN15,"53 O'Connell Street
Clonmel, Co. Tipperary E91 HN15"
7240,Whelan's Pharmacy,Unit 1 & 5 Puigin Court,St. Michael's Road,,Gorey,Co. Wexford,Namaso Bay Limited,,"Unit 1 & 5 Puigin Court
St. Michael's Road
Gorey, Co. Wexford"
7241,Abbey Street Pharmacy Limited,42 Abbey Street,,,Wexford Town,Co. Wexford,Abbey Street Pharmacy Limited,,"42 Abbey Street
Wexford Town, Co. Wexford"
7247,Murroe Pharmacy,Main Street,,,Murroe,Co. Limerick,Murroe Pharmacy Limited,,"Main Street
Murroe, Co. Limerick"
7250,McDaid's Pharmacy,Main Street,,,Kilnaleck,Co. Cavan,M & M McDaid Limited,,"Main Street
Kilnaleck, Co. Cavan"
7251,Dalton's Pharmacy,"Unit 11 -12, North Main Street Shopping Centre",North Main Street,,Cork City,Co. Cork,Pharmacy First Limited,,"Unit 11 -12, North Main Street Shopping Centre
North Main Street
Cork City, Co. Cork"
7254,A & A Pharmacy,21 William Street,,,Athy,Co. Kildare,A & A Pharmacy Limited.,,"21 William Street
Athy, Co. Kildare"
7255,Young's Life Pharmacy,1 Charlotte Street,,,Newbridge,Co. Kildare,David Young,,"1 Charlotte Street
Newbridge, Co. Kildare"
7259,Tesco Pharmacy,The Square Shopping Centre,,,Tallaght,Dublin 24,Tesco Ireland Limited,,"The Square Shopping Centre
Tallaght, Dublin 24"
7261,Pillbox Express Pharmacy,Station Road,,,Bundoran,Co. Donegal,Pillbox Express Limited,,"Station Road
Bundoran, Co. Donegal"
7263,Ballybane Pharmacy,Unit 4 Ballybane Shopping Centre,Ballybane,,Galway City,Co. Galway,Cogaslann Cian Limited,H91 Y31V,"Unit 4 Ballybane Shopping Centre
Ballybane
Galway City, Co. Galway H91 Y31V"
7266,Castletown Pharmacy,Main Street,,,Celbridge,Co. Kildare,Germaine Chemist Limited,,"Main Street
Celbridge, Co. Kildare"
7268,Brosnan's Pharmacy,36 Main Street,,,Midleton,Co. Cork,SOPI Midleton NB Limited,,"36 Main Street
Midleton, Co. Cork"
7270,Hamilton's Pharmacy,74 Bridge Street,,,Skibbereen,Co. Cork,Browton Limited,,"74 Bridge Street
Skibbereen, Co. Cork"
7273,Irishtown Pharmacy,15 The Irishtown,,,New Ross,Co. Wexford,Callaghans The Chemist Limited,,"15 The Irishtown
New Ross, Co. Wexford"
7274,O'Flaherty's Pharmacy,Units 14 - 15,Athenry Shopping Centre,,Athenry,Co. Galway,Applefield Limited,,"Units 14 - 15
Athenry Shopping Centre
Athenry, Co. Galway"
7276,Clockgate Pharmacy,76 North Main Street,,,Youghal,Co. Cork,Ulysses Outdoor Pursuits Limited ,,"76 North Main Street
Youghal, Co. Cork"
7277,McGorisk's Pharmacy,Athlone Primary Care Centre,Clonbrusk,,Athlone,Co. Westmeath,Sortatron Limited,,"Athlone Primary Care Centre
Clonbrusk
Athlone, Co. Westmeath"
7279,Mihealth Pharmacy,Unit 4A,The Kyle Centre,,Portlaoise,Co. Laois,Duelactive Limited,,"Unit 4A
The Kyle Centre
Portlaoise, Co. Laois"
7280,Douglas Road Pharmacy,Douglas Road,,,Cork,Co. Cork,Flemings Pharmacy Limited,,"Douglas Road
Cork, Co. Cork"
7281,Chemco Pharmacy,Supervalu Shopping Centre,Dublin Road,,Celbridge,Co. Kildare,Duelchem Limited,,"Supervalu Shopping Centre
Dublin Road
Celbridge, Co. Kildare"
7282,Craughwell Pharmacy,Main Street.,,,Craughwell,Co. Galway,Astraval Limited,,"Main Street.
Craughwell, Co. Galway"
7283,Backhouse Pharmacy Limited,71 Clanbrassil Street,,,Dundalk,Co. Louth,The Backhouse Pharmacy Limited,,"71 Clanbrassil Street
Dundalk, Co. Louth"
7285,Sallins Pharmacy,Clane Road,,,Sallins,Co. Kildare,Naas Pharmacy Limited,,"Clane Road
Sallins, Co. Kildare"
7286,Kildare Pharmacy,"Unit 2, Tesco Centre",Monasterevin Road,,Kildare Town,Co. Kildare,Panzerfaust Limited,,"Unit 2, Tesco Centre
Monasterevin Road
Kildare Town, Co. Kildare"
7287,Naas Pharmacy Limited,The Crossings,Dublin Road,,Naas,Co. Kildare,Naas Pharmacy Limited,,"The Crossings
Dublin Road
Naas, Co. Kildare"
7288,O'Donoghue's Pharmacy,64 Boherbee,,,Tralee,Co. Kerry,Chamfods Limited,,"64 Boherbee
Tralee, Co. Kerry"
7289,Laune Pharmacy,Market Street,,,Killorglin,Co. Kerry,Kingdom Pharmacy Limited,,"Market Street
Killorglin, Co. Kerry"
7290,Tesco Pharmacy,Tesco Extra,"Ramstown Lower, Wexford Road",,Gorey,Co. Wexford,Tesco Ireland Limited,,"Tesco Extra
Ramstown Lower, Wexford Road
Gorey, Co. Wexford"
7292,Phelan's Pharmacy,3 Lower Kilmacud Road,,,Stillorgan,Co. Dublin,Phelan Mobility Aids Limited,,"3 Lower Kilmacud Road
Stillorgan, Co. Dublin"
7297,Burns Pharmacy,Balloonagh Medical Centre,Balloonagh Estate,,Tralee,Co. Kerry,MPI Care Limited,,"Balloonagh Medical Centre
Balloonagh Estate
Tralee, Co. Kerry"
7299,Treacy's Pharmacy Westport,James Street,,,Westport,Co. Mayo,Treacy's Pharmacy Westport Limited,,"James Street
Westport, Co. Mayo"
7300,Mary Street Pharmacy,14 Mary Street,,,Clonmel,Co. Tipperary,Mary Street Pharmacy Limited,,"14 Mary Street
Clonmel, Co. Tipperary"
7303,Prescription Services Limited (Reddy's Pharmacy),167 St. Mobhi Road,,,Glasnevin,Dublin 9,Prescription Services Limited,,"167 St. Mobhi Road
Glasnevin, Dublin 9"
7305,Monasterevin Pharmacy Limited,Unit 3,Watermill Place,,Monasterevin,Co. Kildare,Monasterevin Pharmacy Limited,,"Unit 3
Watermill Place
Monasterevin, Co. Kildare"
7306,Walsh's Pharmacy Midleton,50 Main Street,,,Midleton,Co. Cork,SOPI Midleton Limited,,"50 Main Street
Midleton, Co. Cork"
7307,Haven Pharmacy,Supervalu Complex,Austin Friars Street,,Mullingar,Co. Westmeath,Clarejack Limited,,"Supervalu Complex
Austin Friars Street
Mullingar, Co. Westmeath"
7310,Rossfield Pharmacy,Unit 2-3 ,Brookfield Enterprise Centre,,Tallaght,Dublin 24,Rossfield Pharmacy Limited,D24 PC 61,"Unit 2-3 
Brookfield Enterprise Centre
Tallaght, Dublin 24 D24 PC 61"
7311,Donal McGoey Pharmacy Limited,Main Street,,,Drumconrath,Co. Meath,Donal McGoey Pharmacy Limited,,"Main Street
Drumconrath, Co. Meath"
7312,LloydsPharmacy,Supervalu Shopping Centre,"The Glen, New Road",,Kinsale,Co. Cork,Lloydspharmacy Ireland Limited,,"Supervalu Shopping Centre
The Glen, New Road
Kinsale, Co. Cork"
7314,Lakeshore Pharmacy Limited,Barrack Street,,,Loughrea,Co. Galway,Lakeshore Pharmacy Limited,,"Barrack Street
Loughrea, Co. Galway"
7316,Jordan's Pharmacy,43 Sundrive Road,,,Kimmage,Dublin 12,Jordan's Pharmacy Limited,,"43 Sundrive Road
Kimmage, Dublin 12"
7317,Phelan's Pharmacy,11-13 Grand Parade,,,Cork,Co. Cork,The Village Pharmacy Limited,,"11-13 Grand Parade
Cork, Co. Cork"
7319,Andrew Buckley's totalhealth Pharmacy,5 St. Enda's Drive,,,Rathfarnham,Dublin 14,M & E Pharmacy Limited,,"5 St. Enda's Drive
Rathfarnham, Dublin 14"
7320,Concannon's Pharmacy,11 Mardyke Street,,,Athlone,Co. Westmeath,Fipocar Limited,,"11 Mardyke Street
Athlone, Co. Westmeath"
7321,Capel Street Pharmacy Limited,"138, Capel Street",,,,Dublin 1,Capel Street Pharmacy Limited,,"138, Capel Street
Dublin 1"
7322,McGrath's Pharmacy,Main Street,,,Tallow,Co. Waterford,McGrath Chemists Limited,,"Main Street
Tallow, Co. Waterford"
7324,Markey's Pharmacy,24 Bridge Street,,,Cootehill,Co. Cavan,Derryadd Pharmacy Limited,,"24 Bridge Street
Cootehill, Co. Cavan"
7326,LloydsPharmacy,The Meath Primary Care Centre,,,Heytesbury Street,Dublin 8,Lloydspharmacy Ireland Limited,,"The Meath Primary Care Centre
Heytesbury Street, Dublin 8"
7328,Hanover Quay Pharmacy,Unit 4,Forbes Street,,Sir John Rogerson Quay,Dublin 2,GSN Pharmacies Limited,,"Unit 4
Forbes Street
Sir John Rogerson Quay, Dublin 2"
7332,Corrigan's Pharmacy,80 Malahide Road,,,Clontarf,Dublin 3,H.P. Corrigan Limited ,,"80 Malahide Road
Clontarf, Dublin 3"
7336,Tesco Pharmacy,Tesco Extra,"Dundalk Shopping Centre, Stapleton Drive",,Dundalk,Co. Louth,Tesco Ireland Limited,,"Tesco Extra
Dundalk Shopping Centre, Stapleton Drive
Dundalk, Co. Louth"
7338,Crowley's Pharmacy,Market Square,,,Dunmanway,Co. Cork,AR Pharmacies Limited,,"Market Square
Dunmanway, Co. Cork"
7342,Foody's Pharmacy,Harcourt Building,Harcourt Road,,,Dublin 2,Nalia Dublin Limited,,"Harcourt Building
Harcourt Road
Dublin 2"
7345,Casla Chemist,Derrynea (Doire an Fheich),,,Costelloe (Casla),Co. Galway,Patricia Boyle,,"Derrynea (Doire an Fheich)
Costelloe (Casla), Co. Galway"
7346,Duffy's Pharmacy,Main Street,Castletownroche,,Mallow,Co. Cork,Awbeg Apothecary Limited,,"Main Street
Castletownroche
Mallow, Co. Cork"
7348,Kevin Davison Pharmacy Limited,West Square,,,Askeaton,Co. Limerick,John Davison,L94 N1W8,"West Square
Askeaton, Co. Limerick L94 N1W8"
7349,Fennell's Pharmacy Clare Abbey,Vision House,Clare Abbey,,Clarecastle,Co. Clare,Clear Horizon Limited,,"Vision House
Clare Abbey
Clarecastle, Co. Clare"
7350,Rivervalley Pharmacy,"Unit 1, Rivervalley Shopping Centre",Rivervalley,,Swords,Co. Dublin,Bindun Limited,,"Unit 1, Rivervalley Shopping Centre
Rivervalley
Swords, Co. Dublin"
7351,Reens Pharmacy,West End,,,Rathmore,Co. Kerry,Reens Pharmacy (Rathmore) Limited,,"West End
Rathmore, Co. Kerry"
7352,Hayes & Hayes totalhealth Pharmacy,St. Brendan's Street,,,Portumna,Co. Galway,Hayes & Hayes Community Pharmacy Limited,,"St. Brendan's Street
Portumna, Co. Galway"
7357,Home Pharmacy Galway,13 Forster Street,,,Galway City,Co. Galway,McAnena Pharmacy (Eyre Square) Limited,,"13 Forster Street
Galway City, Co. Galway"
7365,Dun Laoghaire Pharmacy,56 George's Street Upper,,,Dun Laoghaire,Co. Dublin,Ashford Pharmacy (Dun Laoghaire) Limited,A96 YV61,"56 George's Street Upper
Dun Laoghaire, Co. Dublin A96 YV61"
7367,Clarecastle Pharmacy,Barrack Street,,,Clarecastle,Co. Clare,Trevose Limited,,"Barrack Street
Clarecastle, Co. Clare"
7369,Shine's Pharmacy,Unit 4 Horan Centre,Clash,,Tralee,Co. Kerry,Shine's Pharmacy Limited,,"Unit 4 Horan Centre
Clash
Tralee, Co. Kerry"
7371,Leahy's Pharmacy Ballinorig,Unit 1(b),Ballinorig Business Park,,Tralee,Co. Kerry,JJC Pharmacy Limited,,"Unit 1(b)
Ballinorig Business Park
Tralee, Co. Kerry"
7374,The Mill Pharmacy,The Mill Centre,,,Coolaney,Co. Sligo,Hipharm Limited,,"The Mill Centre
Coolaney, Co. Sligo"
7375,Omeath Pharmacy,Station Road,,,Omeath,Co. Louth,Jenkinstown Pharmacy Limited,,"Station Road
Omeath, Co. Louth"
7377,Balally Pharmacy,Unit 9,Balally Shopping Centre,Blackthorn Drive,Sandyford,Dublin 16,Pharmacy Resolution Company (PRC) Limited,,"Unit 9
Balally Shopping Centre
Blackthorn Drive
Sandyford, Dublin 16"
7378,Belturbet Pharmacy,Bridge Street,,,Belturbet,Co. Cavan,NJCMP Holdings Ltd,,"Bridge Street
Belturbet, Co. Cavan"
7380,O'Sullivan's Pharmacy,Units 1 - 2,"Dano's Supervalu, Bellevue",,Mallow,Co. Cork,Despat Limited,,"Units 1 - 2
Dano's Supervalu, Bellevue
Mallow, Co. Cork"
7383,Mulligan's Pharmacy,Cedar House,Ardkeen,,Dunmore Road,Co. Waterford,Mulligans Chemist (Cedar House) Limited,,"Cedar House
Ardkeen
Dunmore Road, Co. Waterford"
7386,Adrian Dunne Pharmacy,"Unit 7, Ballinteer Shopping Centre",Ballinteer Avenue,,Ballinteer,Dublin 16,Hillpharma Limited,,"Unit 7, Ballinteer Shopping Centre
Ballinteer Avenue
Ballinteer, Dublin 16"
7387,C&F Pharmacy,Casey's Lane,Market Place,,Ennis,Co. Clare,Dun Urlann Teoranta,,"Casey's Lane
Market Place
Ennis, Co. Clare"
7389,Duddy's Pharmacy,St Brendan Street,,,Portumna,Co. Galway,Duddy's Pharmacy Limited,H53 R6X5,"St Brendan Street
Portumna, Co. Galway H53 R6X5"
7390,McCaffrey's Pharmacy,69 George's Street Upper,,,Dun Laoghaire,Co. Dublin,Dun Laoghaire Pharmacy Ltd,A96 DN32,"69 George's Street Upper
Dun Laoghaire, Co. Dublin A96 DN32"
7391,Sionhill Pharmacy,"40a,  Unit 1",Calderwood Road,,Drumcondra,Dublin 9,Aspire Pharmacy Limited,,"40a,  Unit 1
Calderwood Road
Drumcondra, Dublin 9"
7392,Lackagh Pharmacy,Lackagh,Turloughmore,,Athenry,Co. Galway,Connacht Pharmacies Limited,,"Lackagh
Turloughmore
Athenry, Co. Galway"
7393,Polonia Pharmacy,Unit 4,King Street Complex,,Smithfield,Dublin 7,Polonia Pharmacy Ltd,,"Unit 4
King Street Complex
Smithfield, Dublin 7"
7394,Walsh's Allcare Pharmacy,"Unit 4, Blarney Shopping Centre",,,Blarney,Co. Cork,SOPI Blarney Limited,,"Unit 4, Blarney Shopping Centre
Blarney, Co. Cork"
7395,Mari Mina Pharmacy Ardmore Limited,Dungarvan Road,,,Ardmore,Co. Waterford,Mari Mina Pharmacy Ardmore Ltd,,"Dungarvan Road
Ardmore, Co. Waterford"
7396,Pharmacy Express ,"Unit 3, Connolly Station",Amiens Street,,,Dublin 1,Kiltober RPB Limited,,"Unit 3, Connolly Station
Amiens Street
Dublin 1"
7398,Balbriggan Allcare Pharmacy,5 Drogheda Street,,,Balbriggan,Co. Dublin,Allcare Pharmacy Limited,,"5 Drogheda Street
Balbriggan, Co. Dublin"
7399,Mari Mina Pharmacy Youghal Limited,97 North Main Street,,,Youghal,Co. Cork,Mari Mina Pharmacy Youghal Ltd,,"97 North Main Street
Youghal, Co. Cork"
7400,"Phelan's, Blackrock Hall",Blackrock Avenue,Skehard Road,,Cork,Co. Cork,BHL Pharmacy,,"Blackrock Avenue
Skehard Road
Cork, Co. Cork"
7404,Cullen's Pharmacy,Arais Slainte Primary Care Centre,Navan Road,,Cabra,Dublin 7,Mangan Pharmacies Limited,,"Arais Slainte Primary Care Centre
Navan Road
Cabra, Dublin 7"
7405,O'Connell's Pharmacy Corrandulla,Gort Na Carraige,,,Corrandulla,Co. Galway,J. O. C Pharmacy (Galway) Limited,,"Gort Na Carraige
Corrandulla, Co. Galway"
7406,Knockrobin Pharmacy Limited,Wicklow Primary Care Centre,,,Wicklow Town,Co. Wicklow,Knockrobin Pharmacy Limited,,"Wicklow Primary Care Centre
Wicklow Town, Co. Wicklow"
7407,Lonergan's Pharmacy Limited,3 Harty Avenue,,,Walkinstown,Dublin 12,Lonergan's Pharmacy Limited,,"3 Harty Avenue
Walkinstown, Dublin 12"
7410,Castle Pharmacy,"Unit 8, Ballinakill Shopping Centre",Dunmore Road,,Waterford City,Co. Waterford,WMBM Limited,,"Unit 8, Ballinakill Shopping Centre
Dunmore Road
Waterford City, Co. Waterford"
7411,Santry's Washington Street Pharmacy,25A Washington Street West,,,Cork,Co. Cork,Strand Network Limited,,"25A Washington Street West
Cork, Co. Cork"
7412,McCartan's Pharmacy Northside,Units 7-8 Northside Shopping Centre,Oscar Traynor Road,,Coolock,Dublin 17,Northside Property Limited,D17 KF43,"Units 7-8 Northside Shopping Centre
Oscar Traynor Road
Coolock, Dublin 17 D17 KF43"
7415,Stack's Family Pharmacy Limited,Market Square,,,Monasterevin,Co. Kildare,Stack's Family Pharmacy Limited,,"Market Square
Monasterevin, Co. Kildare"
7417,Portarlington Pharmacy,Eglington House,Park Lane,,Portarlington,Co. Laois,Portarlington Pharmacy Limited,,"Eglington House
Park Lane
Portarlington, Co. Laois"
7418,Grogan's Pharmacy Poitigeir,Spa Road,,,Dingle,Co. Kerry,Knockbane Limited,,"Spa Road
Dingle, Co. Kerry"
7419,O'Sullivan's Pharmacy,Bank Place,,,Ennis,Co. Clare,Rosaleen O' Sullivan Pharmacy Limited,,"Bank Place
Ennis, Co. Clare"
7420,Newport Mayo Pharmacy,Main Street,,,Newport,Co. Mayo,Newport Mayo Pharmacy Limited,,"Main Street
Newport, Co. Mayo"
7421,Connolly's Pharmacy,The Square,,,Kildare Town,Co. Kildare,NLRK Limited,,"The Square
Kildare Town, Co. Kildare"
7423,McCabes Pharmacy,Unit 148,The Blanchardstown Centre,,Blanchardstown,Dublin 15,Wembar Company,,"Unit 148
The Blanchardstown Centre
Blanchardstown, Dublin 15"
7424,McCabes Pharmacy,Unit 3 Adelphi Court,The Longwalk,,Dundalk,Co. Louth,Wembar Company,,"Unit 3 Adelphi Court
The Longwalk
Dundalk, Co. Louth"
7425,McCabes Pharmacy,Ridgewood Shopping Centre,Forest Road,,Swords,Co. Dublin,Wembar Company,,"Ridgewood Shopping Centre
Forest Road
Swords, Co. Dublin"
7426,McCabes Pharmacy,Unit 2,The Griffeen Centre,,"Griffeen Avenue, Lucan",Co. Dublin,Wembar Company,,"Unit 2
The Griffeen Centre
Griffeen Avenue, Lucan, Co. Dublin"
7427,McCabes Pharmacy,Unit 8 College View,Ballymun Road,,Ballymun,Dublin 11,Wembar Company,D11 H342,"Unit 8 College View
Ballymun Road
Ballymun, Dublin 11 D11 H342"
7428,McCabes Pharmacy,2 Sandyford Hall Centre,Kilgobbin Road,,Sandyford,Dublin 18,Wembar Company,D18 NF43 ,"2 Sandyford Hall Centre
Kilgobbin Road
Sandyford, Dublin 18 D18 NF43"
7429,McCabes Pharmacy,312 Lower Kimmage Road,,,Kimmage,Dublin 6W,Wembar Company,,"312 Lower Kimmage Road
Kimmage, Dublin 6W"
7430,Sherwood's Pharmacy,2 North Main Street,,,Wexford Town,Co. Wexford,Sherwood's Pharmacy,,"2 North Main Street
Wexford Town, Co. Wexford"
7433,McCabes Pharmacy,J C's Supermarket,Rathbeale Road,,Swords,Co. Dublin,Wembar Company,,"J C's Supermarket
Rathbeale Road
Swords, Co. Dublin"
7439,McEvoy's Pharmacy,30 Main Street,,,Shercock,Co. Cavan,Aidan McEvoy,,"30 Main Street
Shercock, Co. Cavan"
7440,Soilse Pharmacy,Unit 10 ,Carrick Retail Park,,Carrick-on-Shannon,Co. Roscommon,Janet Dillon Pharmacy Limited,,"Unit 10 
Carrick Retail Park
Carrick-on-Shannon, Co. Roscommon"
7441,Allcare Pharmacy,46 Main Street,,,Arklow,Co. Wicklow,Duffy's Medical Hall Limited,,"46 Main Street
Arklow, Co. Wicklow"
7443,Laverty's Pharmacy Limited,Unit 2C Shangan Hall,,,Ballymun,Dublin 9,Laverty's Pharmacy Limited,,"Unit 2C Shangan Hall
Ballymun, Dublin 9"
7444,Christine's Pharmacy,33 Brews Hill,,,Navan,Co. Meath,Boyne Lodge Pharmacies Limited,,"33 Brews Hill
Navan, Co. Meath"
7445,"Pharmacy Department, St. Francis Hospice",Navan Road,,,Blanchardstown,Dublin 15,St. Francis Hospice Dublin,,"Navan Road
Blanchardstown, Dublin 15"
7446,Adamstown Pharmacy,Adamstown,,,Enniscorthy,Co. Wexford,Heatherfort Limited,,"Adamstown
Enniscorthy, Co. Wexford"
7447,Baltinglass Pharmacy,Unit 1,3 Mill Street ,,Baltinglass,Co. Wicklow,Turnadot Limited,,"Unit 1
3 Mill Street 
Baltinglass, Co. Wicklow"
7449,McCabes Pharmacy,Unit 1-2,Clarehall Shopping Centre,,Malahide Road,Dublin 17,Wembar Company,,"Unit 1-2
Clarehall Shopping Centre
Malahide Road, Dublin 17"
7451,McCabes Pharmacy,Unit G24,The Pavilions Shopping Centre,,Swords,Co. Dublin,Wembar Company,,"Unit G24
The Pavilions Shopping Centre
Swords, Co. Dublin"
